iter	Passed	Remaining
414	3620	5104
415	3628	5093
416	3635	5082
417	3642	5072
418	3651	5063
419	3658	5052
420	3667	5044
421	3675	5033
422	3683	5024
423	3691	5015
424	3701	5007
425	3708	4997
426	3716	4987
427	3723	4976
428	3730	4965
429	3738	4955
430	3745	4944
431	3754	4936
432	3761	4925
433	3770	4917
434	3777	4906
435	3786	4898
436	3793	4887
437	3803	4879
438	3810	4869
439	3818	4860
440	3825	4849
441	3833	4839
442	3840	4828
443	3849	4821
444	3856	4810
445	3866	4803
446	3874	4792
447	3883	4784
448	3890	4774
449	3899	4765
450	3906	4755
451	3915	4746
452	3921	4735
453	3929	4725
454	3936	4715
455	3943	4705
456	3952	4696
457	3959	4685
458	3968	4677
459	3975	4667
460	3985	4659
461	3992	4649
462	4001	4641
463	4008	4630
464	4016	4621
465	4023	4610
466	4031	4601
467	4038	4590
468	4047	4582
469	4054	4572
470	4063	4564
471	4070	4553
472	4079	4545
473	4086	4534
474	4096	4528
475	4103	4517
476	4112	4509
477	4119	4498
478	4127	4489
479	4134	4478
480	4142	4469
481	4150	4460
482	4159	4452
483	4167	4443
484	4175	4433
485	4183	4424
486	4193	4416
487	4200	4407
488	4208	4397
489	4215	4388
490	4223	4378
491	4230	4368
492	4238	4358
493	4246	4349
494	4253	4339
495	4262	4331
496	4269	4321
497	4278	4313
498	4286	4303
499	4294	4294
500	4302	4285
501	4311	4277
502	4318	4267
503	4328	4260
504	4336	4250
505	4345	4242
506	4352	4231
507	4361	4223
508	4368	4214
509	4377	4206
510	4384	4196
511	4393	4187
512	4400	4177
513	4409	4168
514	4416	4158
515	4423	4149
516	4431	4139
517	4441	4132
518	4448	4122
519	4457	4114
520	4465	4105
521	4474	4097
522	4481	4087
523	4491	4079
524	4498	4069
525	4506	4061
526	4513	4051
527	4521	4042
528	4528	4031
529	4536	4022
530	4544	4014
531	4553	4005
532	4561	3996
533	4570	3988
534	4577	3978
535	4587	3971
536	4594	3961
537	4603	3952
538	4610	3943
539	4617	3933
540	4625	3923
541	4632	3914
542	4640	3905
543	4648	3896
544	4657	3888
545	4664	3878
546	4673	3870
547	4680	3860
548	4689	3852
549	4696	3842
550	4704	3833
551	4712	3824
552	4720	3815
553	4727	3805
554	4736	3797
555	4744	3788
556	4753	3780
557	4760	3770
558	4770	3763
559	4777	3753
560	4786	3745
561	4793	3736
562	4802	3727
563	4809	3718
564	4817	3709
565	4824	3699
566	4834	3691
567	4841	3681
568	4851	3674
569	4858	3665
570	4867	3657
571	4875	3647
572	4884	3639
573	4891	3630
574	4900	3622
575	4907	3612
576	4914	3603
577	4922	3593
578	4931	3585
579	4938	3575
580	4947	3567
581	4954	3558
582	4964	3551
583	4972	3541
584	4981	3534
585	4989	3524
586	4997	3516
587	5004	3506
588	5012	3497
589	5019	3488
590	5026	3478
591	5035	3470
592	5042	3460
593	5051	3452
594	5058	3443
595	5067	3434
596	5074	3425
597	5083	3417
598	5091	3408
599	5098	3399
600	5105	3389
601	5113	3380
602	5120	3371
603	5129	3363
604	5137	3354
605	5147	3346
606	5154	3337
607	5164	3329
608	5171	3320
609	5180	3312
610	5188	3303
611	5196	3294
612	5203	3284
613	5210	3275
614	5218	3267
615	5228	3259
616	5235	3249
617	5245	3242
618	5252	3232
619	5262	3225
620	5270	3216
621	5279	3208
622	5287	3199
623	5295	3190
624	5302	3181
625	5310	3172
626	5317	3163
627	5327	3155
628	5334	3146
629	5344	3138
630	5352	3129
631	5361	3121
632	5368	3112
633	5377	3104
634	5384	3095
635	5392	3086
636	5399	3077
637	5407	3068
638	5414	3058
639	5423	3050
640	5430	3041
641	5439	3033
642	5447	3024
643	5456	3016
644	5464	3007
645	5474	2999
646	5480	2990
647	5489	2981
648	5496	2972
649	5504	2964
650	5511	2954
651	5519	2945
652	5527	2937
653	5536	2928
654	5544	2920
655	5551	2911
656	5560	2903
657	5567	2893
658	5576	2885
659	5583	2876
660	5591	2867
661	5598	2858
662	5605	2849
663	5612	2840
664	5622	2832
665	5629	2823
666	5638	2815
667	5645	2805
668	5655	2797
669	5662	2788
670	5671	2780
671	5678	2771
672	5687	2763
673	5694	2754
674	5702	2745
675	5709	2736
676	5720	2729
677	5727	2720
678	5737	2712
679	5745	2703
680	5755	2695
681	5763	2687
682	5771	2678
683	5778	2669
684	5787	2661
685	5793	2651
686	5801	2643
687	5808	2633
688	5817	2625
689	5824	2616
690	5834	2609
691	5841	2599
692	5851	2592
693	5858	2583
694	5868	2575
695	5875	2566
696	5883	2557
697	5890	2548
698	5898	2540
699	5905	2531
700	5914	2522
701	5922	2514
702	5931	2505
703	5938	2496
704	5947	2488
705	5955	2479
706	5964	2471
707	5971	2462
708	5980	2454
709	5987	2445
710	5993	2436
711	6001	2427
712	6008	2418
713	6017	2410
714	6025	2401
715	6033	2393
716	6041	2384
717	6050	2376
718	6057	2367
719	6066	2359
720	6073	2350
721	6081	2341
722	6088	2332
723	6096	2324
724	6103	2315
725	6112	2306
726	6119	2298
727	6128	2289
728	6135	2280
729	6145	2273
730	6153	2264
731	6162	2256
732	6169	2247
733	6178	2238
734	6185	2230
735	6193	2221
736	6200	2212
737	6207	2203
738	6215	2195
739	6224	2186
740	6232	2178
741	6239	2169
742	6248	2161
743	6255	2152
744	6266	2144
745	6274	2136
746	6282	2127
747	6291	2119
748	6298	2110
749	6305	2101
750	6314	2093
751	6321	2084
752	6330	2076
753	6337	2067
754	6346	2059
755	6353	2050
756	6363	2042
757	6370	2033
758	6378	2025
759	6385	2016
760	6393	2007
761	6400	1999
762	6409	1990
763	6416	1982
764	6426	1974
765	6433	1965
766	6442	1957
767	6450	1948
768	6459	1940
769	6466	1931
770	6475	1923
771	6482	1914
772	6489	1905
773	6496	1897
774	6506	1889
775	6513	1880
776	6524	1872
777	6531	1863
778	6540	1855
779	6547	1846
780	6557	1838
781	6564	1830
782	6572	1821
783	6579	1812
784	6588	1804
785	6594	1795
786	6603	1787
787	6611	1778
788	6620	1770
789	6627	1761
790	6636	1753
791	6644	1744
792	6654	1736
793	6661	1728
794	6668	1719
795	6676	1710
796	6682	1702
797	6690	1693
798	6697	1684
799	6706	1676
800	6713	1667
801	6723	1659
802	6730	1651
803	6739	1642
804	6746	1634
805	6756	1626
806	6764	1617
807	6772	1609
808	6778	1600
809	6786	1591
810	6793	1583
811	6803	1575
812	6810	1566
813	6820	1558
814	6827	1549
815	6837	1541
816	6843	1532
817	6853	1524
818	6860	1516
819	6868	1507
820	6875	1499
821	6883	1490
822	6890	1481
