iter	Logloss
0	0.6388039331
1	0.5906798741
2	0.5476625086
3	0.5114713407
4	0.4765900479
5	0.4467235484
6	0.4186401216
7	0.3931744326
8	0.3709046695
9	0.3502621894
10	0.3322018907
11	0.3152448644
12	0.3011275747
13	0.2876643731
14	0.2759204403
15	0.2652559539
16	0.2563041974
17	0.2479803356
18	0.2401926814
19	0.2331631563
20	0.2259552786
21	0.2204674588
22	0.2157011326
23	0.2119389134
24	0.2077043324
25	0.2041545572
26	0.2004436621
27	0.197153642
28	0.1939198135
29	0.1908543676
30	0.1881547364
31	0.1857975281
32	0.1835792048
33	0.1818965635
34	0.1803153262
35	0.1788790155
36	0.1772898982
37	0.1755749158
38	0.1742458867
39	0.1729554336
40	0.1719582011
41	0.170964112
42	0.1701087073
43	0.1691621423
44	0.1682650389
45	0.1674493783
46	0.1667855222
47	0.1660775681
48	0.1655674784
49	0.165031007
50	0.1644914928
51	0.1639183482
52	0.1632564131
53	0.1628201467
54	0.1623747361
55	0.1620207787
56	0.1615741615
57	0.1612879144
58	0.1608641079
59	0.1604798834
60	0.1600824618
61	0.1596437524
62	0.1593491259
63	0.1590198273
64	0.1586715471
65	0.1584738497
66	0.1581630327
67	0.157865063
68	0.1575656972
69	0.1573508372
70	0.1571633622
71	0.156980209
72	0.1567396465
73	0.1565285919
74	0.1562811151
75	0.1560747711
76	0.1559434606
77	0.1557901202
78	0.1556133361
79	0.1554090667
80	0.1552401924
81	0.1551091068
82	0.1549784399
83	0.154829053
84	0.1546598224
85	0.1545042976
86	0.15437251
87	0.154240112
88	0.1540895122
89	0.1539488348
90	0.1538558093
91	0.153692494
92	0.1535162592
93	0.1533775566
94	0.153293341
95	0.1531907009
96	0.1531138794
97	0.152939423
98	0.152873715
99	0.1527409151
100	0.1526179576
101	0.1525107085
102	0.1523824713
103	0.1522352875
104	0.1521399093
105	0.1520689855
106	0.1519322776
107	0.1518542289
108	0.1517681476
109	0.1515773011
110	0.1515051835
111	0.1513671072
112	0.1512792469
113	0.1511761017
114	0.151104194
115	0.1510172963
116	0.1508745536
117	0.1507648799
118	0.1506710649
119	0.150592605
120	0.1505097848
121	0.1504111847
122	0.1503690203
123	0.1502836421
124	0.150151071
125	0.1500498301
126	0.1499981663
127	0.1499251525
128	0.149817019
129	0.1497511152
130	0.1496872546
131	0.1495888113
132	0.1494555112
133	0.1494074735
134	0.1493217258
135	0.1492523129
136	0.149196346
137	0.1490755078
138	0.1489640697
139	0.1488446428
140	0.1487863776
141	0.1486874907
142	0.1486144005
143	0.1485562273
144	0.1484853907
145	0.1483986265
146	0.1483245902
147	0.14825612
148	0.1481865946
149	0.1481219385
150	0.148050076
151	0.1479711052
152	0.1479079837
153	0.1478005977
154	0.1477021388
155	0.1476505249
156	0.1475693785
157	0.1475221935
158	0.1474372708
159	0.1473750577
160	0.1473185732
161	0.1472499078
162	0.1471722543
163	0.1471187437
164	0.1470742264
165	0.1470129906
166	0.1469476262
167	0.1468845035
168	0.1468012299
169	0.1467496898
170	0.1466410508
171	0.1465748469
172	0.1465361515
173	0.1464620434
174	0.1463321989
175	0.1462665391
176	0.1462033898
177	0.1461255725
178	0.1460358871
179	0.145973253
180	0.1457603222
181	0.1456425307
182	0.145578234
183	0.1455180802
184	0.1454695693
185	0.1453986546
186	0.1452974768
187	0.145240051
188	0.1451828393
189	0.145050495
190	0.1450140704
191	0.1449483053
192	0.1449059466
193	0.1448719247
194	0.1448274582
195	0.144729186
196	0.1446454303
197	0.1445776393
198	0.1445127019
199	0.1444671981
200	0.1444028962
201	0.1443293992
202	0.1442669797
203	0.1440974795
204	0.1440539799
205	0.1439746896
206	0.143900943
